Epocht	Train Loss	Val Loss	Val Accuracy	Dur	Dur/Epoch
1	100	0.6705740690231323	0.8938092589378357	0.17434005439281464	1.2920572757720947	0
9	100	0.3144213855266571	0.861801266670227	0.2958066761493683	11.228068828582764	1.4035086035728455
10	100	0.2967471182346344	0.7692878842353821	0.27649661898612976	12.527579545974731	1.3919532828860812
11	100	0.27370813488960266	0.7686973214149475	0.28735989332199097	13.82460331916809	1.3824603319168092
12	100	0.2610294222831726	0.5852088332176208	0.3341292142868042	15.127114534378052	1.3751922303980046
13	100	0.24363888800144196	0.5238755345344543	0.4658169746398926	16.422762393951416	1.3685635328292847
14	100	0.22884763777256012	0.4732789397239685	0.45674270391464233	17.725038051605225	1.3634644655080943
15	100	0.21943102777004242	0.3483107388019562	0.5438790321350098	19.05854606628418	1.3613247190202986
16	100	0.20516468584537506	0.28019681572914124	0.6050094962120056	20.3514666557312	1.3567644437154134
17	100	0.19840164482593536	0.23796840012073517	0.7402258515357971	21.643982410430908	1.3527489006519318
18	100	0.19068334996700287	0.21121619641780853	0.7832523584365845	22.988307237625122	1.3522533669191248
19	100	0.17800375819206238	0.16801345348358154	0.797070324420929	24.27964186668396	1.3488689925935533
20	100	0.1700882613658905	0.15039271116256714	0.7937263250350952	25.581154823303223	1.346376569647538
21	100	0.16129140555858612	0.14227493107318878	0.8014978170394897	26.883897066116333	1.3441948533058166
22	100	0.15466737747192383	0.13512958586215973	0.8159192204475403	28.189414024353027	1.3423530487787156
28	100	0.12009655684232712	0.13269945979118347	0.8479158282279968	36.48434567451477	1.3512720620190655
35	100	0.09215129166841507	0.13217388093471527	0.7526732683181763	45.10342788696289	1.326571408440085
36	100	0.08892176300287247	0.11867593228816986	0.8002660870552063	46.41157031059265	1.3260448660169328
37	100	0.0897558405995369	0.10897893458604813	0.8143542408943176	47.686081409454346	1.324613372484843
47	100	0.06686753034591675	0.10673694312572479	0.7624280452728271	60.191107749938965	1.3085023423899775
51	100	0.061723172664642334	0.10605965554714203	0.7441511154174805	65.19269633293152	1.3038539266586304
52	100	0.06127101927995682	0.08714275062084198	0.7953986525535583	66.59264135360718	1.3057380657570035
53	100	0.05738728493452072	0.0787225291132927	0.8162800669670105	67.94059538841248	1.3065499113156245
54	100	0.056482281535863876	0.07559973001480103	0.8209725618362427	69.33397555351257	1.3081882179908033
55	100	0.05599318444728851	0.07219865173101425	0.8266118168830872	70.82379031181335	1.3115516724409881
82	100	0.036451149731874466	0.07104460150003433	0.7965803146362305	107.22368001937866	1.323749136041712
83	100	0.037000998854637146	0.0707683190703392	0.7950798273086548	108.54576396942139	1.3237288288953828
84	100	0.03508444130420685	0.06813052296638489	0.8033583760261536	109.8419303894043	1.32339675167957
87	100	0.03359362483024597	0.06708074361085892	0.8090900778770447	113.6835618019104	1.3219018814175627
88	100	0.033669084310531616	0.0608096681535244	0.8267772197723389	115.01914668083191	1.3220591572509415
94	100	0.03279273957014084	0.05602653697133064	0.8436160087585449	122.88364553451538	1.3213295218765095
95	100	0.03200983256101608	0.04939861595630646	0.8638383150100708	124.23614883422852	1.3216611578109416
96	100	0.033905450254678726	0.045671191066503525	0.8785583972930908	125.58285522460938	1.3219247918379935
97	100	0.03118806891143322	0.04404713585972786	0.8867037892341614	126.90685319900513	1.3219463874896367
98	100	0.03074808605015278	0.04357330873608589	0.8901472091674805	128.21878457069397	1.3218431399040615
99	100	0.03138452768325806	0.043269746005535126	0.8880831599235535	129.5968780517578	1.3224171229771204
