Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,250,1.89327693,2.10056663,0.03844841,0.07404972,3.741385,0
6,250,1.65060663,2.00979853,0.08406357,0.15508975,20.554642,4.1109
7,250,1.62005496,1.81392908,0.09878931,0.17981484,23.822065,3.9703
8,250,1.62034488,1.75606191,0.10716052,0.19357721,27.194965,3.885
9,250,1.60128927,1.70633638,0.09669907,0.17634568,30.593275,3.8242
10,250,1.56628871,1.68690407,0.07185883,0.13408264,34.000409,3.7778
11,250,1.54411042,1.67695117,0.0414347,0.07957235,37.440337,3.744
12,250,1.51893687,1.66064799,0.05759261,0.10891266,40.963767,3.724
13,250,1.51254964,1.64648199,0.09624967,0.17559809,44.462971,3.7052
14,250,1.53049445,1.63761485,0.10063525,0.18286758,48.002927,3.6925
15,250,1.47582817,1.62070251,0.11579334,0.20755339,51.363966,3.6689
16,250,1.4688611,1.60823452,0.09575828,0.17477993,55.290385,3.686
17,250,1.44611704,1.5971756,0.12281262,0.2187589,59.543727,3.7215
18,250,1.43465757,1.58413804,0.14063384,0.24658894,63.229242,3.7194
19,250,1.44118547,1.57405603,0.15827682,0.27329706,66.818474,3.7121
20,250,1.42113471,1.55970716,0.16616948,0.28498341,70.428479,3.7068
21,250,1.39970601,1.54351401,0.17396142,0.29636651,73.998831,3.6999
22,250,1.41004741,1.52665293,0.20667108,0.3425475,77.556451,3.6932
23,250,1.38781548,1.50890648,0.23782898,0.38426791,81.055476,3.6843
24,250,1.3760047,1.49679017,0.19704953,0.32922535,84.998605,3.6956
25,250,1.37650824,1.48244965,0.23020745,0.37425793,88.588012,3.6912
26,250,1.35321558,1.47037542,0.25814128,0.4103534,92.19575,3.6878
27,250,1.33804166,1.46020174,0.28333263,0.44155759,95.819625,3.6854
28,250,1.33776617,1.45384693,0.30992567,0.47319582,99.423413,3.6823
29,250,1.32368255,1.450302,0.3363154,0.50334733,102.912499,3.6754
30,250,1.32005405,1.44328225,0.3426054,0.51035903,106.44644,3.6706
31,250,1.30274785,1.43311524,0.35922269,0.52857077,110.030016,3.6677
