Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,300,2.00780892,2.04995346,0.03970344,0.07637455,2.470122,0
7,300,1.75878739,1.92385554,0.05009399,0.0954086,18.593176,3.0989
8,300,1.7120688,1.81458473,0.05470574,0.1037365,21.376194,3.0537
9,300,1.67245233,1.74006641,0.06320766,0.11889992,24.192228,3.024
10,300,1.70945227,1.68230081,0.07697362,0.14294431,26.983134,2.9981
11,300,1.67323804,1.6333952,0.09495122,0.17343462,30.375153,3.0375
12,300,1.64869118,1.59755838,0.12027444,0.21472317,33.187996,3.0171
13,300,1.64395761,1.57494009,0.15334915,0.26591974,35.98511,2.9988
14,300,1.64210153,1.56006694,0.1850905,0.31236517,38.773311,2.9826
15,300,1.5963645,1.54869568,0.21608859,0.35538298,41.569098,2.9692
16,300,1.5705744,1.53821826,0.24685372,0.39596263,44.382461,2.9588
17,300,1.54520822,1.52668667,0.28270486,0.44079489,47.22366,2.9515
18,300,1.56200004,1.51642394,0.30715144,0.46995541,50.369069,2.9629
19,300,1.51614249,1.50096011,0.34783927,0.5161435,53.198409,2.9555
20,300,1.51319337,1.486709,0.37768546,0.54828984,56.175321,2.9566
21,300,1.5768553,1.47259092,0.39747581,0.56884819,59.14505,2.9573
22,300,1.54143965,1.45790708,0.42119607,0.59273463,62.172043,2.9606
23,300,1.49669671,1.44619799,0.43103215,0.60240734,65.106354,2.9594
24,300,1.49484324,1.43590713,0.4324294,0.60377061,67.997906,2.9564
25,300,1.45507479,1.42484951,0.43992314,0.61103696,70.910991,2.9546
26,300,1.43202257,1.41370237,0.44676006,0.61760074,73.987279,2.9595
27,300,1.4294138,1.40320241,0.45430556,0.6247732,76.950011,2.9596
28,300,1.40386748,1.39373934,0.46425286,0.6341157,79.78843,2.9551
29,300,1.38475823,1.38537371,0.46914002,0.63865936,82.699423,2.9536
30,300,1.37841702,1.37694848,0.47318709,0.64239919,85.710367,2.9555
31,300,1.3765645,1.36784649,0.48116562,0.64971209,88.785175,2.9595
32,300,1.35318601,1.3590343,0.49091819,0.65854478,91.928033,2.9654
33,300,1.34116578,1.3506062,0.50045139,0.66706777,95.1375,2.973
34,300,1.35391057,1.34234262,0.51110142,0.67646211,98.424328,2.9826
35,300,1.33278823,1.33434999,0.52232409,0.68621927,101.574273,2.9875
36,300,1.32320869,1.32778466,0.52787089,0.69098884,104.613051,2.9889
37,300,1.32207251,1.32160914,0.53063506,0.69335282,107.909077,2.9975
38,300,1.3072499,1.31598222,0.53153491,0.69412053,111.034436,3.0009
39,300,1.30197096,1.30975676,0.5361793,0.69806862,114.164963,3.0043
40,300,1.3006078,1.30407608,0.53816456,0.69974899,117.616095,3.0158
41,300,1.28887856,1.29784691,0.54363811,0.70435953,120.684092,3.0171
42,300,1.29287231,1.29141688,0.55035824,0.70997554,123.771001,3.0188
43,300,1.27396119,1.28501034,0.55754054,0.71592426,126.860042,3.0205
44,300,1.27548623,1.27878332,0.56774598,0.7242831,129.93602,3.0218
45,300,1.26765513,1.2728256,0.57691276,0.73169899,132.947164,3.0215
46,300,1.25837183,1.26748943,0.58409715,0.73745114,135.938081,3.0208
47,300,1.24661589,1.26207972,0.59425741,0.74549741,138.965969,3.021
48,300,1.24681735,1.25707245,0.60298038,0.75232404,141.96593,3.0206
49,300,1.24094999,1.25265384,0.61127543,0.75874728,144.934838,3.0195
50,300,1.23915267,1.24863672,0.61699152,0.76313514,147.948172,3.0194
51,300,1.23495102,1.24529934,0.61868495,0.76442909,150.937985,3.0188
52,300,1.22851443,1.24201512,0.62011087,0.76551658,154.162071,3.0228
53,300,1.22580218,1.23911548,0.61762297,0.76361799,157.188315,3.0229
54,300,1.22143757,1.23592758,0.61755902,0.76356906,160.511616,3.0285
55,300,1.20992267,1.23232079,0.61943835,0.76500392,163.519065,3.0281
56,300,1.2078445,1.22858143,0.6222316,0.76713043,166.785712,3.0325
57,300,1.19669247,1.22515178,0.62426466,0.76867354,169.895968,3.0339
58,300,1.18985987,1.22179079,0.62665087,0.77047986,173.315403,3.0406
59,300,1.18975306,1.21863961,0.62916535,0.77237755,176.5671,3.0443
60,300,1.18780077,1.21615112,0.63038629,0.77329683,179.730379,3.0463
61,300,1.18451464,1.21342802,0.63054442,0.7734158,183.087216,3.0515
62,300,1.18873465,1.21041155,0.63440561,0.77631354,186.344017,3.0548
63,300,1.17209065,1.20668888,0.6401993,0.78063601,189.766008,3.0607
64,300,1.17605102,1.20260763,0.64553821,0.78459221,193.11866,3.0654
65,300,1.16295421,1.19828153,0.65027779,0.78808284,196.28209,3.0669
66,300,1.16277111,1.19469357,0.6515463,0.78901368,199.382334,3.0674
67,300,1.16306412,1.19101501,0.65388709,0.79072762,202.53932,3.0688
68,300,1.15719056,1.18788099,0.6573931,0.79328567,205.56614,3.0682
69,300,1.14657688,1.18504071,0.66022044,0.79534072,208.714074,3.0693
70,300,1.15552664,1.18191957,0.66492212,0.79874259,211.745165,3.0688
71,300,1.14551973,1.17924714,0.66769391,0.80073917,214.854964,3.0694
72,300,1.14106965,1.17657876,0.67005116,0.80243188,217.943407,3.0696
73,300,1.14102697,1.17450857,0.67386937,0.80516362,221.051206,3.0702
74,300,1.13812435,1.173069,0.67519236,0.80610722,224.481435,3.0751
75,300,1.12898052,1.17259371,0.67445141,0.80557895,227.744033,3.0776
76,300,1.12686598,1.17258883,0.67227674,0.80402565,230.962044,3.0795
77,300,1.12023306,1.17258501,0.66969514,0.80217654,234.094574,3.0802
78,300,1.10873842,1.1721034,0.66782176,0.80083108,237.258478,3.0813
79,300,1.1120193,1.17090917,0.66714656,0.80034542,240.513232,3.0835
80,300,1.10267568,1.16849053,0.67173409,0.8036375,243.712058,3.085
81,300,1.0961237,1.16569555,0.6766364,0.80713552,246.893655,3.0862
82,300,1.09902108,1.16235495,0.68139607,0.8105123,249.940087,3.0857
83,300,1.08754396,1.15883446,0.68628007,0.81395739,253.121398,3.0868
84,300,1.08913147,1.15520453,0.68962151,0.81630296,256.520242,3.0906
85,300,1.07807398,1.15154231,0.68984133,0.81645691,259.711211,3.0918
86,300,1.06991005,1.14747143,0.68857086,0.81556642,262.91346,3.0931
87,300,1.06863213,1.14276087,0.68737477,0.81472683,266.118299,3.0944
88,300,1.06292558,1.13754594,0.68570381,0.81355196,269.316351,3.0956
89,300,1.05016184,1.13158131,0.68624169,0.81393039,272.677878,3.0986
90,300,1.0485239,1.12584126,0.68565136,0.81351501,275.918094,3.1002
91,300,1.05146194,1.12033141,0.68406671,0.81239861,279.107256,3.1012
92,300,1.04310417,1.11481917,0.6846239,0.81279135,282.425107,3.1036
93,300,1.03325486,1.10936952,0.68624884,0.8139354,285.661235,3.105
94,300,1.04005384,1.10363376,0.69035929,0.81681961,289.106537,3.1087
95,300,1.02724361,1.09917402,0.69093889,0.81722516,292.317042,3.1098
96,300,1.03100801,1.0960567,0.68776059,0.81499779,295.657987,3.1122
97,300,1.01978755,1.09261703,0.68677443,0.81430501,299.03304,3.1149
98,300,1.01817083,1.08866215,0.68922806,0.81602728,302.318041,3.1167
99,300,1.02046239,1.08427477,0.69377351,0.81920457,305.725032,3.1196
100,300,1.01576805,1.08030713,0.69664615,0.82120383,309.492362,3.1262
101,300,1.0069561,1.07719588,0.69709128,0.821513,313.117134,3.1312
102,300,1.00796306,1.07417572,0.69605887,0.82079566,316.523292,3.1339
103,300,1.00785184,1.06969178,0.70173335,0.82472771,320.060311,3.1378
104,300,1.0043484,1.06540465,0.70840752,0.82931912,323.322987,3.1391
105,300,1.00094843,1.06309438,0.70877016,0.82956761,326.71715,3.1415
106,300,0.99017829,1.06187093,0.70211351,0.82499021,330.106006,3.1439
107,300,0.99454606,1.05908179,0.70385176,0.82618898,333.754226,3.1486
108,300,0.9767887,1.05512798,0.7141183,0.83321935,337.307186,3.1524
109,300,0.98257518,1.05199528,0.71829271,0.83605397,340.708039,3.1547
110,300,0.98132068,1.05103886,0.71432763,0.83336186,344.269261,3.1584
111,300,0.96976459,1.05021524,0.70619351,0.82780004,347.687994,3.1608
112,300,0.96893257,1.04761481,0.7092557,0.82990009,351.298364,3.1649
113,300,0.97020471,1.0446713,0.71574777,0.83432752,354.664088,3.1666
114,300,0.96392095,1.04227555,0.71554267,0.8341881,358.011366,3.1682
115,300,0.96514475,1.04111743,0.70844787,0.82934678,361.290037,3.1692
116,300,0.96355641,1.03935754,0.70275956,0.82543606,364.623654,3.1706
117,300,0.95991862,1.0364424,0.70524883,0.82715064,368.035753,3.1727
118,300,0.95833403,1.03266215,0.71320629,0.83259827,371.287955,3.1734
119,300,0.94988096,1.02863181,0.72081852,0.83776242,374.662126,3.1751
