Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,250,1.89771724,1.80263638,0.03920109,0.07544467,3.596269,0
11,250,16.20797157,1.48937035,0.06043725,0.11398553,37.628316,3.7628
12,250,4.91362381,1.35638642,0.06403201,0.1203573,41.04933,3.7318
13,250,4.047369,1.19623375,0.06849543,0.12820913,44.424926,3.7021
14,250,7.99945307,1.18805194,0.07450037,0.13866979,48.180043,3.7062
15,250,2.83847761,1.11373425,0.07967997,0.14759922,51.845339,3.7032
16,250,2.93830061,1.07185388,0.08337075,0.15390991,55.064252,3.671
17,250,2.75300312,0.99001169,0.08606447,0.15848871,58.669982,3.6669
18,250,2.47876644,0.77854514,0.09109876,0.16698535,62.034084,3.6491
19,250,2.44155693,0.05207026,0.09571265,0.17470393,65.400746,3.6334
20,250,2.38015342,-51.27820206,0.10017334,0.18210465,68.759007,3.6189
