Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,150,1.09477103,1.24914598,0.05142013,0.09781081,2.575458,0
2,150,1.07795787,1.21843219,0.06599828,0.12382437,5.301044,5.301
3,150,1.05917358,1.18905807,0.10074464,0.18304816,7.910128,3.9551
4,150,1.04486954,1.1536684,0.19281405,0.32329272,10.619649,3.5399
5,150,1.03740561,1.14704704,0.19865029,0.33145662,13.70664,3.4267
11,150,0.99171567,1.14102483,0.21091243,0.3483529,29.505976,2.9506
12,150,0.98319942,1.11339939,0.24391118,0.39216816,32.216849,2.9288
13,150,0.9748745,1.08214235,0.28401219,0.44238239,35.07439,2.9229
14,150,0.97045541,1.07346404,0.29469339,0.45523271,37.841946,2.9109
15,150,0.96432281,1.05267298,0.3406771,0.50821649,40.506954,2.8934
16,150,0.96225673,1.0329752,0.3812173,0.55200192,43.28342,2.8856
17,150,0.95415342,1.01647389,0.4200527,0.59160156,45.916855,2.8698
18,150,0.94730681,0.99915802,0.47965924,0.64833744,48.676891,2.8633
19,150,0.945539,0.99123001,0.50052829,0.66713609,51.472974,2.8596
20,150,0.93951803,0.98459995,0.5076095,0.67339653,54.236958,2.8546
21,150,0.93333399,0.98100239,0.49789638,0.66479415,57.011002,2.8506
22,150,0.93762833,0.98097175,0.48438926,0.65264452,59.704338,2.8431
23,150,0.9213559,0.97203285,0.51358767,0.67863617,62.498138,2.8408
24,150,0.91957414,0.96508783,0.53151157,0.69410063,65.2996,2.8391
25,150,0.92129374,0.9650408,0.50365872,0.66991095,68.402982,2.8501
26,150,0.90721786,0.96225381,0.5050441,0.67113528,72.247171,2.8899
27,150,0.91299623,0.95494634,0.5392388,0.70065646,75.482952,2.9032
28,150,0.90758055,0.94910824,0.55720412,0.71564686,78.288418,2.8996
29,150,0.89201933,0.94361097,0.56773306,0.72427262,81.024376,2.8937
30,150,0.90733105,0.93998528,0.56876457,0.72511144,83.88422,2.8926
31,150,0.88125718,0.9366343,0.56864069,0.72501076,86.484075,2.8828
32,150,0.90032595,0.93167406,0.57854821,0.73301304,89.665251,2.8924
33,150,0.9006449,0.92598838,0.59575279,0.74667303,92.488578,2.8903
34,150,0.90086621,0.92162091,0.60691084,0.75537587,95.281112,2.8873
35,150,0.89375818,0.91966319,0.60276003,0.75215256,98.079152,2.8847
36,150,0.88592523,0.91961157,0.58730442,0.74000225,100.903712,2.883
37,150,0.89023173,0.91871095,0.57955163,0.7338179,103.851552,2.8848
38,150,0.88345575,0.91350734,0.59810595,0.74851852,106.629611,2.8819
39,150,0.88553619,0.90743893,0.6227422,0.76751834,109.487475,2.8812
40,150,0.88105023,0.9042474,0.6297266,0.77280029,112.272807,2.8788
41,150,0.87705266,0.90281117,0.62437265,0.76875544,115.191841,2.8798
43,150,0.87524843,0.90230876,0.59677949,0.74747891,121.067595,2.8826
44,150,0.8748765,0.89649534,0.62053737,0.76584148,124.056653,2.885
45,150,0.85946876,0.88869828,0.65521002,0.79169412,126.863987,2.8833
46,150,0.87809306,0.88473517,0.65806285,0.79377311,129.794021,2.8843
47,150,0.86039555,0.88162345,0.66333518,0.79759653,132.655555,2.8838
48,150,0.85492778,0.8787033,0.67359372,0.80496684,135.444692,2.8818
49,150,0.85521638,0.87682378,0.68294711,0.81160853,138.256646,2.8803
50,150,0.8524462,0.87586069,0.67949103,0.80916303,141.047857,2.8785
51,150,0.84712607,0.87504631,0.67510485,0.80604489,144.068238,2.8814
52,150,0.85289371,0.87371951,0.67232258,0.80405848,146.954583,2.8815
53,150,0.83969593,0.87046617,0.68160694,0.81066143,149.775757,2.8803
54,150,0.86556154,0.86796433,0.68658293,0.81417038,152.469451,2.8768
55,150,0.85247695,0.86712492,0.68811722,0.81524815,155.218296,2.8744
56,150,0.83889377,0.86648977,0.68750767,0.8148202,158.007263,2.8729
57,150,0.83908641,0.86526543,0.68768298,0.81494332,160.846432,2.8723
58,150,0.8443054,0.86197472,0.69187045,0.81787639,163.648542,2.871
59,150,0.8291806,0.85829771,0.69623732,0.8209197,166.443383,2.8697
60,150,0.84006488,0.85528374,0.70205231,0.82494799,169.229375,2.8683
