Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,50,0.54685462,0.38825968,0.0,0.0,1.72442,0
2,50,0.47642788,0.37201637,0.0,0.0,3.536472,3.5365
15,50,0.19671009,0.34202766,0.04123025,0.07919526,25.107257,1.7934
16,50,0.18846577,0.31236511,0.07202657,0.13437459,26.780298,1.7854
17,50,0.18079314,0.2894029,0.11052456,0.19904929,28.485721,1.7804
18,50,0.17385401,0.27177596,0.15224732,0.26426154,30.1838,1.7755
19,50,0.16728513,0.25508121,0.20612351,0.34179503,31.995665,1.7775
20,50,0.16125801,0.23994872,0.25983807,0.4124944,33.774348,1.7776
21,50,0.15556607,0.22711837,0.32037383,0.48527746,35.523154,1.7762
22,50,0.15016356,0.21497324,0.37490689,0.54535604,37.324283,1.7773
23,50,0.14505458,0.2027768,0.41131988,0.58288682,39.179279,1.7809
24,50,0.14022394,0.19140618,0.433623,0.6049331,40.992374,1.7823
25,50,0.1355828,0.18138728,0.44660194,0.61744966,42.704418,1.7794
26,50,0.13108753,0.17238224,0.46216328,0.63216371,44.42746,1.7771
27,50,0.12671401,0.16424961,0.47451645,0.64362314,46.171578,1.7758
28,50,0.12253105,0.15719211,0.47772368,0.646567,47.906484,1.7743
29,50,0.11853682,0.15063027,0.48580907,0.65393203,49.9295,1.7832
30,50,0.11470436,0.1443008,0.49916997,0.66592845,51.667451,1.7816
31,50,0.11101463,0.13865641,0.50837757,0.67407203,53.406815,1.7802
32,50,0.10747945,0.13379401,0.51379581,0.67881785,55.127619,1.7783
33,50,0.10407545,0.12951717,0.51051093,0.6759447,56.853918,1.7767
34,50,0.10100269,0.12546228,0.52501971,0.68854154,58.591981,1.7755
35,50,0.09903931,0.12388185,0.49759918,0.66452918,60.324984,1.7743
36,50,0.09706312,0.11823731,0.54800829,0.70801725,62.050236,1.7729
37,50,0.093402,0.11697488,0.52624265,0.68959238,63.799457,1.7722
39,50,0.08793705,0.11415207,0.50528053,0.671344,67.228207,1.7692
40,50,0.08514892,0.11154167,0.5278687,0.69098699,68.984718,1.7688
41,50,0.08243968,0.11125685,0.51637899,0.68106851,70.732522,1.7683
42,50,0.0802914,0.10864563,0.52904815,0.69199672,72.48376,1.7679
43,50,0.07769086,0.10716622,0.52617106,0.68953091,74.247404,1.7678
45,50,0.07359652,0.10648866,0.50988701,0.67539757,77.674319,1.7653
46,50,0.07149065,0.10338527,0.53871975,0.70021816,79.441464,1.7654
47,50,0.06962255,0.10289647,0.53267336,0.69509052,81.28147,1.767
48,50,0.06792869,0.10234293,0.52549628,0.68895125,83.053551,1.7671
49,50,0.06607261,0.10115066,0.52469689,0.68826387,84.878427,1.7683
50,50,0.06452852,0.10014637,0.52413177,0.6877775,87.020991,1.7759
