Epoch	Epochs	Train Loss	Val Loss	Val IoU	Val DICE	Dur	Dur/Epoch
81		100	0.20306839	0.22950098	0.50251744	0.66890064	178.943498	2.2368
82		100	0.20170282	0.22783829	0.50348843	0.6697603	181.391062	2.2394
83		100	0.20015816	0.22633025	0.50611529	0.67208041	184.123522	2.2454
84		100	0.19893578	0.22501051	0.50426917	0.67045071	186.860104	2.2513
85		100	0.19767272	0.22401293	0.49602588	0.66312473	189.928159	2.261
86		100	0.1963971	0.22280116	0.49390244	0.66122449	191.929173	2.258
87		100	0.19500387	0.22165878	0.49194479	0.65946782	193.95575	2.2553
88		100	0.19354686	0.22054768	0.4906113	0.65826859	195.992668	2.2528
89		100	0.19256625	0.2192951	0.48894428	0.65676639	198.159564	2.2518
90		100	0.1910644	0.21790476	0.48947977	0.6572493	200.902263	2.2573
91		100	0.18982451	0.21627259	0.4951645	0.66235454	203.099878	2.2567
92		100	0.1889078	0.21491766	0.4950844	0.66228288	205.185895	2.2548
93		100	0.18764386	0.21366692	0.4952655	0.6624449	207.372784	2.2541
94		100	0.18629859	0.21260783	0.49598328	0.66308667	209.755176	2.2554
95		100	0.1855513	0.21159278	0.49510054	0.66229732	211.940761	2.2547
96		100	0.18412159	0.21053922	0.49143971	0.65901384	213.952934	2.2521
97		100	0.18297157	0.20962778	0.48842711	0.65629967	216.112058	2.2512
98		100	0.18203233	0.20839059	0.48977794	0.65751805	218.180167	2.2493
99		100	0.18072881	0.2070494	0.49478418	0.66201421	220.479074	2.2498
100		100	0.17958361	0.20572975	0.49932774	0.66606883	222.542391	2.2479
