Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,250,1.65036583,1.70223129,0.05045762,0.09606789,3.132069,0
6,250,1.51269138,1.68111527,0.06413433,0.12053803,16.055322,3.2111
7,250,1.48700774,1.66350508,0.0686794,0.12853135,18.832001,3.1387
8,250,1.47261572,1.64637971,0.0756426,0.14064634,21.55996,3.08
9,250,1.46640038,1.63475251,0.08157329,0.15084191,24.387025,3.0484
10,250,1.45339417,1.62017846,0.08678029,0.15970163,27.141886,3.0158
11,250,1.42869318,1.60096478,0.09387702,0.1716409,29.867231,2.9867
12,250,1.41543019,1.58144474,0.10192668,0.18499722,32.414985,2.9468
13,250,1.41092277,1.5621388,0.11027358,0.19864218,35.231395,2.9359
14,250,1.39722586,1.53208399,0.12465556,0.22167775,38.187971,2.9375
15,250,1.38675892,1.50224733,0.14293645,0.25012144,40.992733,2.9281
16,250,1.36665273,1.47112739,0.16675788,0.28584832,43.762954,2.9175
17,250,1.35344088,1.44028306,0.19268984,0.32311809,46.579478,2.9112
18,250,1.34009802,1.41662061,0.21430169,0.35296285,49.379438,2.9047
19,250,1.3333919,1.39694035,0.23819529,0.3847459,52.357011,2.9087
20,250,1.31840158,1.38070166,0.26612496,0.42037711,55.376971,2.9146
21,250,1.309407,1.36900496,0.27391279,0.4300338,58.180932,2.909
22,250,1.29386365,1.36055517,0.27971646,0.43715382,60.971205,2.9034
23,250,1.2941705,1.34961343,0.28583831,0.44459447,63.988393,2.9086
24,250,1.28269434,1.3380605,0.29701474,0.45799747,66.951358,2.9109
25,250,1.26149666,1.32745099,0.31026438,0.47359049,69.976996,2.9157
26,250,1.26353478,1.32092392,0.31055769,0.47393212,72.973069,2.9189
27,250,1.24945545,1.31322432,0.32168597,0.48678124,75.954763,2.9213
28,250,1.23554945,1.29983187,0.3459388,0.51404834,78.751014,2.9167
29,250,1.22463846,1.29033351,0.36289468,0.5325352,81.580336,2.9136
30,250,1.20979726,1.28082573,0.38293651,0.55380201,84.76694,2.923
31,250,1.20779753,1.27147913,0.40281689,0.57429719,87.542136,2.9181
32,250,1.1887691,1.26237452,0.42452061,0.59601891,90.373281,2.9153
33,250,1.1774013,1.25342047,0.44768724,0.61848611,93.177221,2.9118
34,250,1.17216134,1.24630094,0.46142483,0.63147253,95.953025,2.9077
35,250,1.15862036,1.23837471,0.48547861,0.65363258,98.961997,2.9106
36,250,1.1598053,1.22945142,0.49767819,0.66459966,101.79214,2.9083
37,250,1.14700067,1.22022581,0.5108093,0.67620617,104.769164,2.9103
38,250,1.13205636,1.21177077,0.51724905,0.68182486,107.737999,2.9118
39,250,1.12470365,1.20400119,0.52171969,0.6856975,110.676877,2.9125
40,250,1.12069917,1.1954273,0.53090078,0.69357961,113.57635,2.9122
41,250,1.12656164,1.18682098,0.53712147,0.69886667,116.451996,2.9113
42,250,1.11230564,1.17906046,0.53564346,0.69761437,119.364034,2.9113
43,250,1.10041571,1.1719451,0.53468776,0.69680333,122.342384,2.9129
