Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,200,2.63678122,4.70078087,0.04014374,0.07718883,1.98534,0
2,200,2.54500127,3.8300209,0.04186086,0.08035786,3.921308,3.9213
3,200,2.46730256,3.25677848,0.04784575,0.09132212,6.047961,3.024
4,200,2.46237564,2.84261179,0.05933958,0.11203127,8.139223,2.7131
5,200,2.31981492,2.44014072,0.08007675,0.14827974,10.045095,2.5113
6,200,2.23346949,2.15521145,0.11051657,0.19903633,11.915108,2.383
7,200,2.19467211,2.02655792,0.13296994,0.2347281,13.803606,2.3006
8,200,2.177145,2.0251317,0.13997131,0.24556988,15.691402,2.2416
9,200,2.11751986,2.0198822,0.14182883,0.24842398,18.261223,2.2827
10,200,2.08504057,1.99946022,0.14107281,0.24726347,20.510022,2.2789
11,200,2.05050802,1.99904513,0.13461227,0.23728329,22.866273,2.2866
12,200,2.03310633,1.98613298,0.13257237,0.23410844,25.063953,2.2785
13,200,2.00035477,1.98203707,0.13185921,0.23299578,27.083049,2.2569
14,200,2.00159025,1.98095536,0.13167406,0.23270668,29.080775,2.237
15,200,1.98207879,1.97846413,0.13148283,0.23240801,30.93516,2.2097
16,200,1.94012976,1.9639293,0.1298666,0.22987953,32.836235,2.1891
17,200,1.90546095,1.94737828,0.12915891,0.22877012,34.729034,2.1706
18,200,1.91032982,1.930884,0.13272289,0.23434308,36.649135,2.1558
19,200,1.89323449,1.91460991,0.13699314,0.24097443,38.531895,2.1407
20,200,1.86059833,1.89754844,0.13768116,0.24203822,40.425948,2.1277
21,200,1.85692465,1.88008666,0.13956511,0.24494451,42.323979,2.1162
22,200,1.85686815,1.8583926,0.14044944,0.24630542,44.218562,2.1056
23,200,1.80867219,1.84404457,0.14450162,0.25251449,46.110335,2.0959
24,200,1.78398764,1.82908487,0.14948346,0.26008806,48.023446,2.088
25,200,1.77213335,1.81207705,0.1557862,0.26957616,49.889247,2.0787
26,200,1.757671,1.79632819,0.16804743,0.28774076,51.773909,2.071
27,200,1.73739552,1.77873945,0.18704996,0.31515095,53.652975,2.0636
28,200,1.72357154,1.76538932,0.21042793,0.3476918,55.599602,2.0592
29,200,1.72203183,1.75052047,0.23360215,0.37873175,57.726007,2.0616
30,200,1.69772565,1.73584294,0.2456725,0.39444155,59.677202,2.0578
31,200,1.68159938,1.72223043,0.25306238,0.40391026,61.604491,2.0535
32,200,1.67393494,1.71064413,0.26213224,0.41537999,63.566236,2.0505
33,200,1.65195334,1.69816518,0.2710898,0.42654705,65.495057,2.0467
34,200,1.65764856,1.68581367,0.28700569,0.44600531,67.439006,2.0436
35,200,1.67651272,1.67563081,0.30654278,0.46924263,69.406167,2.0414
36,200,1.62033904,1.66744375,0.33035284,0.49663943,71.333958,2.0381
37,200,1.60825586,1.65987992,0.35090551,0.51951155,73.318332,2.0366
38,200,1.57567644,1.64875042,0.36942947,0.53953779,75.230323,2.0333
39,200,1.59901381,1.63924003,0.38505555,0.55601459,77.109362,2.0292
40,200,1.57422912,1.62885857,0.40347623,0.57496696,79.008462,2.0259
41,200,1.54795623,1.61646152,0.41605865,0.58762913,80.936937,2.0234
42,200,1.54183519,1.60506904,0.42395079,0.59545708,82.947401,2.0231
43,200,1.51795232,1.59454954,0.41281949,0.58439099,84.848461,2.0202
44,200,1.51310229,1.5874536,0.34675955,0.51495392,87.188958,2.0277
45,200,1.50633621,1.58012581,0.30102544,0.46275105,89.310153,2.0298
46,200,1.49292529,1.57110941,0.29754497,0.4586276,91.273567,2.0283
47,200,1.48296785,1.56133235,0.30835614,0.47136422,93.257561,2.0273
48,200,1.47480893,1.55119789,0.33331964,0.4999846,95.21381,2.0258
49,200,1.47122264,1.53822136,0.38889111,0.56000231,97.244119,2.0259
50,200,1.45704937,1.52800632,0.44199514,0.61303277,99.173675,2.024
51,200,1.44094419,1.51898432,0.47041045,0.63983556,101.078342,2.0216
52,200,1.43754065,1.51049137,0.48911387,0.65691937,102.996165,2.0195
53,200,1.43135095,1.50219691,0.49800697,0.66489272,104.945194,2.0182
54,200,1.42254794,1.49390364,0.50681316,0.67269542,106.9442,2.0178
55,200,1.41836119,1.48436499,0.51392269,0.67892858,108.900169,2.0167
56,200,1.41126895,1.47430444,0.52351188,0.68724358,110.828646,2.0151
57,200,1.39856863,1.46486664,0.52982327,0.69265945,112.819983,2.0146
58,200,1.39772952,1.4559058,0.5352349,0.69726776,115.177843,2.0207
59,200,1.38853145,1.45015836,0.53411138,0.69631369,117.178419,2.0203
60,200,1.38629913,1.44444156,0.53095381,0.69362486,119.185384,2.0201
61,200,1.38013136,1.43964195,0.52883105,0.69181098,121.096239,2.0183
62,200,1.37405062,1.43457198,0.53113975,0.6937835,123.066394,2.0175
63,200,1.3667233,1.42913532,0.54000442,0.70130243,125.231162,2.0199
64,200,1.36058426,1.42408144,0.54959134,0.70933713,127.165964,2.0185
65,200,1.35732782,1.41882253,0.55573571,0.7144346,129.145103,2.0179
66,200,1.35377288,1.41248608,0.56346268,0.72078814,131.101853,2.017
67,200,1.3472147,1.40608478,0.57093258,0.72687089,133.079156,2.0164
68,200,1.34235299,1.40015209,0.57598372,0.73095136,135.054362,2.0157
69,200,1.33747172,1.39493418,0.58008362,0.7342442,137.052989,2.0155
70,200,1.33919847,1.39020634,0.58428136,0.73759797,139.031402,2.0149
71,200,1.32630312,1.38444889,0.58726498,0.73997094,141.36494,2.0195
72,200,1.32544208,1.3798511,0.58754434,0.74019267,143.352453,2.019
73,200,1.320225,1.37556434,0.5866672,0.73949622,145.347012,2.0187
74,200,1.31617856,1.37235355,0.58074969,0.73477755,147.327108,2.0182
75,200,1.31413722,1.36837101,0.57904057,0.73340809,149.321951,2.0179
76,200,1.31140065,1.36509871,0.57709073,0.73184215,151.308107,2.0174
77,200,1.30489993,1.36135888,0.576232,0.73115125,153.32258,2.0174
78,200,1.30401218,1.35724056,0.58019923,0.73433681,155.363226,2.0177
79,200,1.2970897,1.35356045,0.58342159,0.73691251,157.346209,2.0173
80,200,1.29769301,1.34993958,0.58901422,0.74135802,159.313656,2.0166
81,200,1.29053855,1.34591317,0.59374872,0.74509703,161.307194,2.0163
82,200,1.28828406,1.34217465,0.59656564,0.74731113,163.359248,2.0168
83,200,1.28474033,1.3400687,0.59579815,0.74670866,165.717282,2.0209
84,200,1.28498793,1.33794761,0.59634497,0.74713797,167.765391,2.0213
85,200,1.27943838,1.33592916,0.59508022,0.74614457,169.972436,2.0235
86,200,1.28024125,1.3325069,0.59477871,0.74590751,172.024039,2.0238
87,200,1.26901937,1.33063698,0.59184422,0.74359565,174.223476,2.0259
88,200,1.27621293,1.32842481,0.59017129,0.74227386,176.564066,2.0295
89,200,1.26672578,1.3251456,0.59247751,0.7440953,178.543512,2.0289
90,200,1.26625574,1.32117951,0.59736529,0.74793824,180.545115,2.0286
91,200,1.25956666,1.3163898,0.60224228,0.75174933,182.657637,2.0295
92,200,1.26023746,1.31223488,0.60916308,0.75711789,184.914084,2.032
93,200,1.25606894,1.30841041,0.6160126,0.76238589,186.934182,2.0319
94,200,1.25468028,1.30411839,0.62059801,0.76588766,189.513642,2.0378
95,200,1.25305057,1.30048144,0.62037346,0.76571664,191.653662,2.0389
96,200,1.24993861,1.29887378,0.61965705,0.76517069,193.718307,2.0391
97,200,1.24630368,1.2956959,0.61781404,0.76376397,195.701711,2.0386
98,200,1.24999189,1.29346299,0.61893968,0.76462352,197.776267,2.0389
99,200,1.24322128,1.29138589,0.61953695,0.76507912,199.918994,2.04
100,200,1.23614025,1.28924119,0.62180237,0.76680412,201.994246,2.0403
101,200,1.23397505,1.28763032,0.62297823,0.76769758,204.234313,2.0423
102,200,1.23665452,1.28585875,0.62599591,0.76998461,206.418358,2.0437
103,200,1.23217881,1.28296018,0.62862984,0.77197387,208.705286,2.0461
104,200,1.22948337,1.28073025,0.63011292,0.77309113,210.921217,2.0478
105,200,1.22856927,1.27749848,0.63145097,0.77409739,213.053413,2.0486
106,200,1.22935021,1.2748369,0.63201846,0.77452367,215.129381,2.0489
107,200,1.22381663,1.2730031,0.63166744,0.77426003,217.397244,2.0509
108,200,1.22440338,1.271276,0.6321646,0.77463339,219.588142,2.0522
109,200,1.21790338,1.27016735,0.6320259,0.77452925,221.793385,2.0536
110,200,1.21433711,1.26776814,0.63199025,0.77450248,224.252274,2.0574
111,200,1.21442783,1.26660299,0.62969948,0.77277988,226.320154,2.0575
112,200,1.21643794,1.26479077,0.62811127,0.77158273,228.636795,2.0598
113,200,1.21665573,1.26279271,0.62737229,0.77102492,230.878598,2.0614
114,200,1.21314478,1.26043749,0.62731617,0.77098253,232.952995,2.0615
115,200,1.20457506,1.25797892,0.62673451,0.77054308,235.359427,2.0646
116,200,1.20568037,1.25603712,0.62788935,0.77141527,237.626055,2.0663
117,200,1.20148933,1.25412011,0.63027232,0.77321109,239.953122,2.0686
118,200,1.20472157,1.25133431,0.63171334,0.77429451,242.219149,2.0702
119,200,1.19851983,1.24892735,0.63493083,0.77670666,244.488822,2.0719
120,200,1.19476652,1.24746585,0.6367268,0.77804897,246.774318,2.0737
121,200,1.19664586,1.24537957,0.6368922,0.77817244,249.008236,2.0751
122,200,1.19345486,1.24322891,0.6361559,0.7776226,251.326697,2.0771
123,200,1.19097459,1.24269533,0.63568229,0.77726866,253.581379,2.0785
124,200,1.18629575,1.24253726,0.63347949,0.77561977,256.005972,2.0813
125,200,1.18757403,1.24096239,0.63371345,0.77579511,258.284389,2.0829
126,200,1.18739522,1.24035144,0.63478298,0.77659602,260.346983,2.0828
127,200,1.18288338,1.23833191,0.63439713,0.7763072,262.569137,2.0839
128,200,1.183954,1.23650432,0.63902273,0.77976067,264.715087,2.0844
129,200,1.17858505,1.23334098,0.64609422,0.78500272,266.862111,2.0849
130,200,1.18005419,1.22976756,0.65260831,0.78979188,268.985063,2.0852
131,200,1.17738962,1.22817504,0.65872814,0.7942569,271.312566,2.087
132,200,1.1755842,1.22576404,0.66157317,0.79632144,273.54509,2.0881
133,200,1.17092621,1.22343373,0.66098436,0.79589474,275.901668,2.0902
134,200,1.17124856,1.22204208,0.66040648,0.79547567,278.349989,2.0929
135,200,1.17104065,1.22034979,0.66041308,0.79548046,280.57517,2.0938
136,200,1.16895032,1.21856546,0.65935534,0.79471265,282.881352,2.0954
137,200,1.16378069,1.21696436,0.660131,0.79527579,285.353735,2.0982
138,200,1.16343665,1.21559346,0.66539222,0.79908169,287.59879,2.0993
139,200,1.16647577,1.21319306,0.66682403,0.80011329,289.946288,2.1011
140,200,1.16233444,1.21146584,0.66875644,0.80150275,292.174456,2.102
141,200,1.1615653,1.20840359,0.67015977,0.80250977,294.405197,2.1029
142,200,1.15842402,1.20726645,0.67150339,0.80347236,296.75386,2.1046
143,200,1.1559931,1.20679593,0.67099345,0.80310721,299.184348,2.1069
144,200,1.15336263,1.20598483,0.66899417,0.80167347,301.486282,2.1083
145,200,1.1548022,1.20537949,0.66488108,0.798713,303.879969,2.1103
146,200,1.15152752,1.20532215,0.66310298,0.79742864,306.125067,2.1112
147,200,1.15403688,1.20406401,0.66217312,0.7967559,308.374321,2.1122
148,200,1.15198278,1.20310628,0.66227865,0.79683229,310.701134,2.1136
149,200,1.14623106,1.20194042,0.66333065,0.79759325,312.936292,2.1144
150,200,1.14852428,1.20095921,0.66340285,0.79764544,315.167025,2.1152
151,200,1.14403844,1.19863844,0.66360922,0.79779459,317.573919,2.1172
152,200,1.14672863,1.1967473,0.66515002,0.79890702,319.898261,2.1185
153,200,1.1465466,1.19430399,0.66408782,0.79814036,322.293329,2.1204
154,200,1.13779128,1.19317377,0.66518828,0.79893461,324.569176,2.1214
155,200,1.13948333,1.19155133,0.66642005,0.79982241,326.950265,2.1231
156,200,1.13605917,1.18914485,0.6687258,0.80148075,329.181042,2.1237
157,200,1.13349426,1.18788338,0.67211055,0.80390684,331.467331,2.1248
158,200,1.13216949,1.18681717,0.67486303,0.8058725,333.687619,2.1254
159,200,1.13641524,1.18437076,0.67944325,0.80912916,335.961227,2.1263
160,200,1.12864435,1.18294919,0.68248424,0.81128158,338.457504,2.1287
161,200,1.13332093,1.18083715,0.68520488,0.81320069,340.63028,2.1289
162,200,1.12765205,1.1784091,0.68578617,0.81360992,342.969694,2.1302
163,200,1.1222086,1.17726195,0.68588589,0.81368009,345.300856,2.1315
164,200,1.12533927,1.17531812,0.6875269,0.81483371,347.684278,2.133
165,200,1.1230942,1.17368293,0.68835498,0.81541499,349.847976,2.1332
166,200,1.12281072,1.1733135,0.68726592,0.81465039,352.187507,2.1345
167,200,1.11897969,1.1716156,0.68815042,0.81527145,354.672526,2.1366
168,200,1.1215483,1.17060924,0.68577569,0.81360254,357.200134,2.1389
169,200,1.11450982,1.16936278,0.68461471,0.81278491,359.538285,2.1401
170,200,1.11634028,1.16753376,0.68594788,0.81372371,361.900177,2.1414
171,200,1.11645031,1.16563916,0.68733929,0.81470193,364.253723,2.1427
172,200,1.1135509,1.16307127,0.68769291,0.81495029,366.562226,2.1436
173,200,1.10715687,1.1619904,0.68807062,0.81521544,368.918281,2.1449
174,200,1.110672,1.16073561,0.68736294,0.81471855,371.259849,2.146
175,200,1.10571671,1.15899825,0.68862454,0.81560409,373.734587,2.1479
176,200,1.10660744,1.15692115,0.69125984,0.8174496,375.960757,2.1483
177,200,1.10227466,1.15643108,0.69308017,0.81872103,378.308369,2.1495
178,200,1.10937631,1.15517712,0.69354018,0.8190419,380.651406,2.1506
179,200,1.10568869,1.15491366,0.69433095,0.81959307,382.944014,2.1514
180,200,1.10165095,1.15411901,0.69534526,0.82029929,385.221199,2.1521
181,200,1.09767187,1.152493,0.69344854,0.81897799,387.551954,2.1531
182,200,1.10048318,1.15098715,0.6929011,0.81859608,389.927291,2.1543
183,200,1.09631395,1.14939451,0.69390159,0.81929386,392.450501,2.1563
184,200,1.09553397,1.14718533,0.6927568,0.81849537,394.750394,2.1571
